"","ID","log2FC","AveExpr","t","P.Value","adj.P.Val","B"
"583","ANXA2",1.08863983154297,19.8964232126872,4.67824217756977,0.000647411050453744,0.370225279851524,-1.12746791530654
"605","CANX",-0.547364425659178,23.5691570917765,-4.18502140945857,0.00147607668191162,0.370225279851524,-1.57431562684348
"260","GBE1",-0.996641921997073,18.9266993840535,-3.901434950429,0.00240376772245618,0.370225279851524,-1.85101408756425
"324","GLIPR2",1.05518608093262,19.2161725997925,3.88447690378585,0.00247561350961782,0.370225279851524,-1.86800331874066
"77","NOMO2;NOMO1;NOMO3",-1.05534693400065,20.5979389190674,-3.86429042779565,0.00256404566895528,0.370225279851524,-1.88829063841378
"448","SSR4",-0.545914332071936,20.6272673924764,-3.82931089023444,0.00272510721236663,0.370225279851524,-1.92360788638752
"507","SIRT2",0.505855814615887,21.6649143218994,3.57780526643423,0.00423813127439726,0.407482103231039,-2.18343516219205
"660","APOO",-0.714226277669271,20.6667967478434,-3.45485024081871,0.00527018887694603,0.407482103231039,-2.31402582679194
"121","FABP7",-1.00899594624837,19.0098591486613,-3.41053446578595,0.0057024900272086,0.407482103231039,-2.36162869785316
"457","MARS",-0.692876180013022,21.8636531829834,-3.29766076267562,0.00697478638213781,0.407482103231039,-2.48407887220319
"152","CST3",0.85258369445801,21.9866917292277,3.23511060264926,0.00780087408563671,0.407482103231039,-2.55263889031814
"881","ALDH1A1",-1.27896334330241,23.8561470667521,-3.17317259802553,0.0087169427507922,0.407482103231039,-2.62098716873245
"712","PRKAR2B",-0.603119023640948,21.892472521464,-3.14911091596088,0.00910158311298347,0.407482103231039,-2.64765603016309
"182","GM2A",0.583773040771486,19.6668108622233,3.10275634505814,0.00989170613678643,0.407482103231039,-2.69920829065668
"12","CDS2",-1.21089604695638,19.2267260233561,-3.09824437299303,0.00997222511943929,0.407482103231039,-2.70423809809882
"179","CPE",0.766237386067707,19.7081951141357,3.03384650637391,0.0111962620703156,0.407482103231039,-2.77624507883287
"687","HSP90AB1",-0.577158228556315,25.0980216344198,-3.00715322781416,0.0117470333058168,0.407482103231039,-2.80620621722172
"629","UBA52;RPS27A;UBB;UBC",0.645660654703776,23.5644434611003,2.99987527452678,0.0119018777635378,0.407482103231039,-2.8143861144421
"882","MBP",0.862793095906574,26.2869386672974,2.96786401946121,0.0126076776879444,0.407482103231039,-2.85041802872681
"866","MAOB",0.576551310221356,22.8286762237549,2.8993852214163,0.0142618192135182,0.407482103231039,-2.92777068957126
"698","HIST1H1C;HIST1H1E;HIST1H1D;HIST1H1T;HIST1H1A",0.524040095011392,21.3277060826619,2.87707265393231,0.0148464372616683,0.407482103231039,-2.95304793633511
"550","FBXO2",-0.522694651285808,23.4631980895996,-2.86659418935984,0.0151291969043906,0.407482103231039,-2.96493009288064
"398","CTSL",1.64122123718262,20.6230966567993,2.83971970304933,0.0158792360449563,0.407482103231039,-2.99543621635318
"126","NARS",-0.997735341389972,19.6387790679932,-2.82799320430818,0.0162180333572352,0.407482103231039,-3.0087608937929
"451","RARS",-0.531165695190431,21.5483176549276,-2.82575952442552,0.0162833806849462,0.407482103231039,-3.01129988998584
"659","ERP44",-1.1171147664388,20.3934599558512,-2.77840792066207,0.0177320897750802,0.407482103231039,-3.06518652776488
"387","PMP2",0.760723495483401,21.461101214091,2.77207072620871,0.0179354653421744,0.407482103231039,-3.07240678756445
"646","ASRGL1",0.604921213785806,21.5504755655924,2.76202448729889,0.0182626347166,0.407482103231039,-3.08385668341804
"385","SERPINA1",-1.82318445841472,21.2232167561849,-2.75658656927851,0.0184421945925617,0.407482103231039,-3.09005624217461
"230","COPA",-0.60844357808431,19.924365679423,-2.7550255910079,0.0184940612375042,0.407482103231039,-3.0918360874195
"84","TMED7",-0.863283665974935,20.2786681493123,-2.74434035755291,0.018853010033823,0.407482103231039,-3.10402224479834
"699","GJA1",0.588232549031576,21.9953983942668,2.70233561301254,0.0203323077867943,0.420348363157421,-3.15196936574232
"106","PDE10A",-0.737562815348305,19.104104868571,-2.69020169224623,0.0207806472297686,0.420476500329999,-3.16583087102559
"865","VARS",-0.62660369873047,21.9981577555339,-2.64143968987133,0.0226830670177431,0.431431934677473,-3.22157426242857
"891","CKAP4",-0.793185679117841,22.4370807647705,-2.61630743915027,0.023729699842542,0.43292017114911,-3.25032316481362
"63","SNRPD3",-0.74227523803711,19.3087052663167,-2.54325700505865,0.0270491591706216,0.43292017114911,-3.33391674300582
"704","CALB2",0.889207077026368,22.0660670598348,2.52961528547719,0.0277176869351717,0.43292017114911,-3.34952718897311
"928","CNP",0.666331227620442,25.4899181365967,2.51445141814738,0.0284798023480569,0.43292017114911,-3.3668775959352
"501","MIA3",-1.12969881693522,20.2956747055054,-2.50594108010867,0.0289164616206191,0.43292017114911,-3.37661390499312
"409","ARSB",-0.970524215698244,21.8624406814575,-2.50102880675801,0.029171478911346,0.43292017114911,-3.38223336252544
"419","GPD1",1.36558354695638,21.9566357930501,2.4922136537813,0.0296346326270088,0.43292017114911,-3.3923166080682
"300","ST13P4;ST13;ST13P5",-0.647524007161456,21.9265502929687,-2.47749793907716,0.0304238510532668,0.43292017114911,-3.40914606502092
"202","MARCKS",0.625158055623374,21.5208351771037,2.44925252659066,0.0319965131614046,0.43292017114911,-3.44143479967027
"631","HBA1",-1.08221257527669,27.7042549133301,-2.43699428623897,0.0327034121355787,0.43292017114911,-3.45544096043109
"351","GDA",0.732978693644204,20.9778454462687,2.42143125227936,0.0336227981539215,0.43292017114911,-3.47321611010684
"470","TMSB4X",0.54151980082194,23.4143210728963,2.38942538520352,0.0355930892891104,0.43292017114911,-3.509742414084
"89","NRCAM",0.522673034667969,18.8991729736328,2.3859851647461,0.0358114163553351,0.43292017114911,-3.51366593000211
"670","CTSZ",0.618782043457034,22.990342203776,2.38068332720248,0.0361504295956331,0.43292017114911,-3.51971151754117
"23","HNRNPA1;HNRNPA1L2",-0.775015767415366,20.529781850179,-2.35962174742001,0.0375281003061357,0.43292017114911,-3.54371402868207
"189","PPIB",-0.702896753946935,21.4872831344604,-2.33666597072835,0.039087457248619,0.43292017114911,-3.56984810653953
"6","TIMM8A",-0.694591649373373,19.9027259190877,-2.32935167347832,0.0395973135652364,0.43292017114911,-3.57816860859297
"298","NECAB2",0.737592188517253,19.2220240910848,2.3278807749517,0.0397006168824002,0.43292017114911,-3.57984145594574
"638","SELENBP1",0.521586481730141,21.7061168034871,2.32466405392451,0.0399274379191011,0.43292017114911,-3.58349934744639
"851","CRYM",0.57667668660482,23.9468588511149,2.32113548676341,0.0401776845517862,0.43292017114911,-3.58751109811349
"257","HNRNPU",-0.635422515869139,19.3893768310547,-2.30695858713754,0.0411984261221457,0.43292017114911,-3.6036210761663
"598","GLUL",-0.531354522705078,22.6576850891113,-2.30449352007122,0.0413784407532738,0.43292017114911,-3.60642087950348
"904","IARS",-0.697778828938801,22.6851490020752,-2.28751033771706,0.042639376948407,0.43292017114911,-3.62569853923974
"71","KARS",-0.614685312906902,20.5934038798014,-2.28482079716269,0.0428424218898443,0.43292017114911,-3.62874951209798
"547","DNAJB11",-0.688784662882489,19.6242480595907,-2.2804417692748,0.043175001636801,0.43292017114911,-3.63371584557637
"683","CRYAB",0.540275700887039,22.6207078933716,2.26757610563002,0.0441665238222276,0.43292017114911,-3.64829843485023
"227","HNRNPA3",-0.642173512776693,19.260445912679,-2.26241986464387,0.0445700008047743,0.43292017114911,-3.65413907554932
"860","TH",-0.642706934611003,24.0175378799438,-2.2456483782615,0.0459069433852565,0.43292017114911,-3.67312138352314
"336","GMPR2",0.514753087361653,18.3108565648397,2.22392737450994,0.0476955486978113,0.43292017114911,-3.69766901881048
"722","CCT6A",-0.667458216349285,22.7502468744914,-2.21044770183266,0.0488387965077085,0.43292017114911,-3.71288078800711
